Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.4,0.7,11.8,5.4,13.3,3.9,20.6,8.4,6.5,14,3.6,3.2,4.5,5,5.1,5.3,5.6
Albania,2.7,5.7,2.9,1.1,2,-1.5,5.6,-0.8,-1.4,9.8,-10,-28,-7.2,9.6,9.4,8.9,9.1,-10.2,12.7,10.1,7.3,7.9,4.2,5.8,5.7,5.8,5.4,5.9,7.5,3.4,3.5,2.3,1.1,0.4,2.1,3.3,4.2,4.5,4.5,4.7
Algeria,-5.4,3,6.4,5.4,5.6,5.6,-0.2,-0.7,-1.9,4.8,1.3,-1.2,1.6,-2.1,-0.9,3.8,3.8,1.1,5.1,3.2,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.8,3.3,2.8,3.8,4,3.8,3.9,3.8,3.9
American Samoa,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Andorra,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Angola,2.4,-4.4,0,4.2,6,3.5,2.9,4.1,6.1,0,-3.5,1,-5.8,-24,1.3,15,20,5.5,0,3.2,3,3.1,14.5,5.2,10.9,18.3,20.7,22.6,13.8,2.4,3.4,3.9,5.2,6.8,3.9,5.9,6.2,6.5,6.7,6.2
Anguilla,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Antigua and Barbuda,7.6,3.6,-1,5.8,9.8,7.9,8.9,9,5.7,6.8,2.3,2.7,0.8,5.1,6.2,-5,6.1,5.6,4.9,4.9,3.3,-4.4,2.5,5.7,3.2,7.2,12.7,7.1,1.5,-10.7,-8.5,-1.9,3.6,1.8,1.9,1.7,2,2,2,2
Argentina,0.7,-5.7,-3.1,3.7,2,-7,7.1,2.5,-2,-7,-1.3,10.5,10.3,6.3,5.8,-2.8,5.5,8.1,3.9,-3.4,-0.8,-4.4,-10.9,9,8.9,9.2,8.4,8,3.1,0.1,9.1,8.6,0.9,2.9,-1.7,-1.5,0,0,0,0
Armenia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-14.1,5.4,8,5.2,3.4,6.3,3.2,5.9,9.5,14.8,14.1,10.5,14.1,13.2,13.7,6.9,-14.1,2.2,4.7,7.1,3.5,3.2,3.5,3.7,4.1,4.3,4.5
