"U.S.  Economic Assistance, Constant 2012 $US ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: US Overseas Loans & Grants [Greenbook], http://gbk.eads.usaidallnet.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by USAID Economic Analysis and Data Services on March 28, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tq—In 1976 the U.S. Government changed the fiscal year from July-June to October-September. The Transition Quarter (TQ) reports the 3 month adjustment period of July, August and September in 1976.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Program Name,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012
Afghanistan,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,691,390","58,817,159","41,877,130","41,467,658","42,463,433","75,588,679","29,483,105","-7,018",,,
Afghanistan,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,084,458",,"47,521,333","157,604,827","240,097,593","223,560,903","516,276,920","575,938,058","329,095,868","569,103,766","336,784,402"
Afghanistan,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,277,488","9,103,715","56,774,503","187,999,805","191,638,012","217,386,458","180,349,154","157,979,591","2,899,789","1,361,402","1,304,395","6,306,210"
Afghanistan,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,"188,486,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,754,265","2,882,551",,,,,,,"63,628","33,116,987","355,296,903","1,066,444,530","1,168,429,631","867,771,694","1,317,357,126","1,458,054,132","1,516,430,713","2,760,968,240","1,291,660,748","2,100,702,676"
Afghanistan,Food For Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,119,521","2,717,860","3,389,241","402,998",,,,,,"3,874,479"
Afghanistan,Global HIV/AIDS Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000"
Afghanistan,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,054,754","1,839,011","144,153,567","7,958,220","68,493,996"
Afghanistan,Inactive Programs,,,,,"7,970","755,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,388,117","3,361,180","7,771,599","3,821,300","14,517,750","7,380,892","82,293,300","57,860,205","15,180,507","8,414,821","12,984,935","16,651,355","13,935,026","19,451,894","32,102,251","14,542,290","77,123,249"
Afghanistan,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,244",,,,,,,,,,,,,"500,614","147,543","144,489","162,713","416,435","368,003","678,322","1,389,391",,,"78,863,995",,"203,403,201","1,632,131","1,578,463","131,170,579","305,352,841","604,582,220","894,767,601","440,560,856","542,935,436"
