"U.S.  Military Assistance, Constant 2012 $US ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: US Overseas Loans & Grants [Greenbook], http://gbk.eads.usaidallnet.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by USAID Economic Analysis and Data Services on March 28, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tq—In 1976 the U.S. Government changed the fiscal year from July-June to October-September. The Transition Quarter (TQ) reports the 3 month adjustment period of July, August and September in 1976.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Program Name,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012
Afghanistan,"Military Assistance, Total",,,,,,,,,,,,,"644,842","2,517,762","1,243,348","3,063,987","6,060,669","4,985,952","910,950","389,561","665,912","893,506","1,022,941","1,386,076","971,710","713,603","1,050,657","876,156","557,984","679,346","859,477","3,217","534,166","726,058",,,,,,,,,,,,,,,,,,,,,,,,"64,401,840","421,172,767","643,193,929","819,772,720","2,111,071,357","4,225,811,395","6,612,348,113","6,336,409,356","7,067,042,629","10,451,563,343","9,559,928,000"
Albania,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"193,008","253,773","373,503","1,181,670","7,609,068","1,130,716","3,113,013","7,145,212","3,089,431","12,001,584","6,091,305","10,865,437","7,414,645","5,135,802","5,143,996","4,401,829","2,933,967","4,353,509","5,281,924","5,148,864","4,067,500"
Algeria,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103,129","71,474","235,616","140,094","171,489","231,246","270,748","226,181","202,133","80,914","104,702","104,109","83,141","169,580","164,708","149,783","153,981","83,871","750,779","860,276","1,057,984","922,333","1,829,741","739,343","928,468","1,055,345","1,054,010","1,293,400"
Angola,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,776,234","237,157",,,,,,"370,482","598,245","362,704","718,366","477,844","369,139","497,844","387,826","425,677","434,600"
Antigua and Barbuda,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,107","58,076","84,379","76,972","67,829","76,100","4,995","1,259,007","1,002,540","1,322,404","141,641","63,575","60,841","247,085","464,774","6,293,320","14,948,573","919,538","962,061","4,535,306","407,285","1,833,022","755,538","485,262","587,781","112,763","714,206","2,281,209","385,961","426,000"
Argentina,"Military Assistance, Total",,,,,,,,,,,,,,,"1,709,603","23,929,741","176,395,785","8,720,928","59,614,019","96,157,724","156,136,348","87,436,727","60,912,921","59,453,472","2,857,116","75,407,172","90,585,102","50,324,186","90,098,763","107,059,177","114,097,997","321,710","2,226,205",,,,,,,,,,,"57,075","243,082","236,064","6,219,461","10,075,604","23,691,560","1,801,197","8,061,541","23,135,939","3,037,806","7,605,902","11,081,944","7,603,979","2,683,845","3,492,548","5,670,097","1,572,187","1,500,646","1,427,767","1,491,223","1,413,793","1,426,312","1,541,947","693,508","795,000"
Armenia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,108,361","6,942,250","4,013,026","10,002,762","5,377,101","5,264,725","3,908,623","3,525,869","3,628,723","20,075,072","20,815,000"
Asia (not specified),"Military Assistance, Total",,,,,"242,280,055","700,193,372","1,101,550,194","1,526,911,658","1,551,888,672","367,728,201","-141,267,138","-45,378,661","-13,407,603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"784,487",,,,,,
Australia,"Military Assistance, Total",,,,,,,,,,,,,,"158,619,011","28,596,996","14,094,342","118,183,054","186,150,207","147,881,572","58,143,502","28,457,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,449",,,,,,,,,,,,,,"7,447","210,061",,,
Austria,"Military Assistance, Total",,,,,"439,953,483",,"2,179,561",,,"2,100,544","2,729,800","230,182","240,481,327","39,258,205","22,678,661","4,528,573","46,939,885","51,535,475","2,490,326","284,903","130,906","93,763","58,606",,"19,338",,"52,753","96,883","94,307","32,011","59,732","3,217","74,104","144,633","133,842","59,035","62,698","79,643","84,320","104,536","84,379","117,291","94,603","38,050","34,964","20,876","40,225",,,"14,449","21,223","20,822",,,,,,,,,,,,,,,,
